Predicted Spread,Actual Spread,Spread Profit,Away ML,Home ML,ML Profit,Over/Under,Over/Under Profit
13,18,0,170,-200,5,208.5,9.090909091
6,8,0,711,-1100,0.909090909,223.5,9.090909091
1,-1,0,-165,144,-10,217,9.090909091
2,3,0,211,-255,3.921568627,212,9.090909091
-7,-19,0,278,-345,27.8,229.5,9.090909091
14,28,0,263,-325,3.076923077,209,9.090909091
-2,-9,0,-125,105,8,227,9.090909091
14,19,0,148,-170,5.882352941,213.5,9.090909091
2,3,0,-135,115,11.5,210.5,9.090909091
15,21,0,-130,110,11,215,
-2,-6,0,-400,317,2.5,208,9.090909091
6,4,0,125,-145,6.896551724,210.5,9.090909091
11,12,0,797,-1300,0.769230769,214,
9,19,0,733,-1150,0.869565217,215,9.090909091
8,9,0,135,-155,6.451612903,222,9.090909091
2,-1,0,215,-260,-10,212,9.090909091
3,2,0,148,-170,5.882352941,218.5,9.090909091
7,16,0,130,-150,6.666666667,215.5,9.090909091
14,14,0,237,-290,3.448275862,208.5,9.090909091
15,17,0,144,-165,6.060606061,214.5,
11,8,0,334,-425,2.352941176,223.5,9.090909091
15,20,0,664,-1000,1,228,9.090909091
-16,-32,0,-125,105,8,217,9.090909091
8,12,0,135,-155,6.451612903,206,9.090909091
3,-1,0,-135,115,-10,218,9.090909091
-3,-2,0,-200,170,5,214,9.090909091
15,4,0,110,-130,7.692307692,216,9.090909091
14,28,0,459,-620,1.612903226,223,9.090909091
11,20,0,303,-380,2.631578947,210.5,9.090909091
-5,-9,0,-160,140,6.25,235,
-3,-1,0,135,-155,13.5,216.5,9.090909091
8,-2,0,-500,384,-10,211.5,
4,1,0,797,-1300,0.769230769,217,9.090909091
9,13,0,172,-205,4.87804878,213,9.090909091
0,-4,0,110,-130,11,216.5,9.090909091
0,-22,0,303,-380,30.3,226.5,
0,2,0,-189,163,-10,230,9.090909091
-8,3,0,115,-135,-10,225,
-4,-11,0,477,-650,47.7,219.5,9.090909091
-3,-3,0,611,-894,61.1,212,9.090909091
12,6,0,170,-200,5,228.5,
12,20,0,797,-1300,0.769230769,228.5,9.090909091
3,-1,0,110,-130,-10,222.5,9.090909091
11,11,0,614,-900,1.111111111,222,9.090909091
10,10,0,110,-130,7.692307692,221.5,9.090909091
0,-1,0,160,-185,16,226,9.090909091
5,21,0,317,-400,2.5,221,9.090909091
12,-8,0,506,-700,-10,218,9.090909091
-4,14,0,614,-900,-10,227,9.090909091
6,1,0,-120,100,10,219,9.090909091
15,7,0,203,-245,4.081632653,233,
7,7,0,-130,110,11,231.5,9.090909091
0,2,0,-200,170,17,227,
-3,-16,0,125,-145,12.5,228,9.090909091
2,22,0,450,-650,1.538461538,231.5,9.090909091
-2,-11,0,-105,-115,9.523809524,218.5,9.090909091
7,23,0,300,-400,2.5,224,9.090909091
11,15,0,180,-220,4.545454545,224.5,9.090909091
0,-18,0,-230,185,4.347826087,234,9.090909091
10,5,0,-140,120,12,220,9.090909091
0,-20,0,105,-125,-10,215,9.090909091
3,7,0,325,-425,2.352941176,226,9.090909091
6,7,0,375,-500,2,223.5,9.090909091
13,7,0,-120,100,10,239,9.090909091
4,-6,0,-110,-110,-10,209,9.090909091
-13,-14,0,-170,145,5.882352941,219,9.090909091
10,29,0,450,-650,1.538461538,228,
-4,-20,0,150,-180,15,219,9.090909091
-8,-30,0,-130,110,7.692307692,232,9.090909091
10,2,0,375,-500,2,234,9.090909091
-2,-28,0,-1000,650,1,228,
-4,4,0,-240,190,-10,236,9.090909091
9,9,0,650,-1000,1,229,9.090909091
-3,-12,0,190,-240,19,231.5,9.090909091
-2,-12,0,-350,275,2.857142857,215,
4,-20,0,-160,140,-10,205.5,
15,21,0,275,-350,2.857142857,206.5,9.090909091
0,9,0,105,-125,-10,222,9.090909091
12,22,0,375,-500,2,222,9.090909091
5,-21,0,-260,210,-10,226,9.090909091
5,2,0,230,-280,3.571428571,230.5,9.090909091
-7,4,0,-115,-105,-10,221,
0,-6,0,-650,450,1.538461538,226,
5,-9,0,-200,170,-10,217,
0,32,0,145,-170,5.882352941,228,9.090909091
7,7,0,1000,-2000,0.5,218,
-4,-25,0,-900,600,1.111111111,231,9.090909091
-2,5,0,375,-500,-10,232.5,
1,-10,0,145,-170,-10,220.5,9.090909091
-3,-10,0,375,-500,37.5,227,9.090909091
9,15,0,-130,110,11,220.5,9.090909091
-3,4,0,-125,105,-10,238.5,
4,19,0,100,-120,8.333333333,217.5,9.090909091
5,21,0,650,-1000,1,229.5,9.090909091
1,5,0,250,-310,3.225806452,219,
-4,3,0,371,-480,-10,207.5,9.090909091
11,12,0,140,-160,6.25,220,9.090909091
0,22,0,172,-205,-10,226,
-3,-19,0,170,-200,17,224.5,9.090909091
5,12,0,-105,-115,8.695652174,218.5,
1,18,0,144,-165,6.060606061,224,9.090909091
-10,-8,0,170,-200,17,224,9.090909091
8,17,0,215,-260,3.846153846,222,9.090909091
3,1,0,110,-130,7.692307692,214,9.090909091
6,-1,0,-400,317,-10,226.5,9.090909091
5,10,0,386,-502,1.992031873,234,9.090909091
10,1,0,318,-402,2.487562189,235,9.090909091
0,3,0,-320,260,-10,223,9.090909091
3,-6,0,-256,212,-10,211.5,
-6,-30,0,-350,281,2.857142857,219,
-11,-31,0,-135,115,7.407407407,230,
-5,4,0,120,-140,-10,215,9.090909091
14,-4,0,100,-120,-10,227,9.090909091
0,-19,0,-230,185,4.347826087,222,9.090909091
5,9,0,190,-240,4.166666667,229.5,
6,13,0,275,-350,2.857142857,237,9.090909091
-1,-8,0,-190,160,5.263157895,219.5,9.090909091
5,-2,0,-310,250,-10,211.5,9.090909091
8,-12,0,200,-250,-10,216.5,9.090909091
9,17,0,550,-800,1.25,243,9.090909091
-7,-25,0,-170,145,5.882352941,220,9.090909091
0,-9,0,-650,450,1.538461538,226,9.090909091
7,-10,0,275,-350,-10,202,
1,-23,0,145,-170,-10,233.5,
0,5,0,-240,190,-10,226.5,
-2,-8,0,-425,325,2.352941176,227,9.090909091
12,32,0,450,-650,1.538461538,226,9.090909091
1,15,0,160,-190,5.263157895,208,
4,1,0,-165,142,14.2,207.5,9.090909091
5,10,0,275,-350,2.857142857,224.5,9.090909091
4,-4,0,135,-155,-10,238,
-2,14,0,105,-125,-10,231.5,9.090909091
8,25,0,-180,150,15,226,9.090909091
5,-14,0,105,-125,-10,233,9.090909091
4,35,0,450,-650,1.538461538,234,9.090909091
8,2,0,-190,160,16,210.5,9.090909091
10,30,0,225,-275,3.636363636,231,9.090909091
2,-7,0,280,-360,-10,209,9.090909091
4,13,0,240,-300,3.333333333,228,9.090909091
5,8,0,100,-120,8.333333333,203,9.090909091
0,-5,0,130,-150,13,218,9.090909091
16,16,0,1000,-2000,0.5,219,9.090909091
-1,-4,0,-110,-110,9.090909091,212,
7,11,0,190,-240,4.166666667,228,
2,-1,0,130,-150,-10,216,
2,6,0,140,-160,6.25,236,
0,2,0,150,-180,-10,212,9.090909091
-4,-13,0,135,-155,13.5,217,9.090909091
7,11,0,600,-900,1.111111111,232,9.090909091
6,19,0,-125,105,10.5,225.5,9.090909091
-1,-22,0,-140,120,7.142857143,219.5,9.090909091
4,15,0,-130,110,11,230,
4,-5,0,-120,100,-10,222.5,9.090909091
-1,-9,0,-280,230,3.571428571,219.5,9.090909091
1,-6,0,125,-145,-10,216,9.090909091
8,4,0,220,-270,3.703703704,237,9.090909091
5,2,0,-160,140,14,205.5,
0,7,0,-105,-115,-10,215.5,
8,9,0,550,-800,1.25,230.5,9.090909091
-3,-7,0,-155,135,6.451612903,211.5,9.090909091
-2,-9,0,-550,400,1.818181818,233.5,9.090909091
3,15,0,400,-550,1.818181818,218.5,
3,-23,0,220,-270,-10,238.5,
3,18,0,-210,175,17.5,214.5,
0,-7,0,-500,375,2,211,
6,11,0,180,-220,4.545454545,225.5,
0,-15,0,-250,200,4,223.5,
4,-2,0,350,-450,-10,209.5,9.090909091
3,-8,0,-135,115,-10,209.5,9.090909091
-3,9,0,-170,145,-10,216.5,
3,1,0,190,-240,4.166666667,5115,9.090909091
4,11,0,-135,115,11.5,234.5,9.090909091
3,8,0,220,-270,3.703703704,210,9.090909091
4,1,0,170,-200,5,212.5,9.090909091
9,15,0,105,-125,8,216,
10,16,0,300,-400,2.5,226.5,9.090909091
0,2,0,-190,160,-10,231.5,9.090909091
5,6,0,170,-200,5,210,9.090909091
1,-6,0,145,-170,-10,225.5,
12,20,0,375,-500,2,228,9.090909091
-3,-15,0,-250,200,4,240,9.090909091
1,7,0,-170,145,14.5,208,
11,16,0,1000,-2000,0.5,218.5,9.090909091
-3,-7,0,140,-160,14,220,9.090909091
-1,-10,0,120,-140,12,221,
1,12,0,125,-145,6.896551724,209,
6,1,0,550,-800,1.25,239,9.090909091
0,-26,0,142,-165,14.2,207.5,
7,6,0,110,-130,7.692307692,214,
2,-5,0,-140,120,-10,211,
-2,5,0,-170,145,-10,232,9.090909091
0,-8,0,-170,145,5.882352941,205.5,
3,-10,0,120,-140,-10,223,
6,7,0,145,-170,5.882352941,222,
9,17,0,300,-400,2.5,208,9.090909091
-1,5,0,-140,120,-10,220,9.090909091
4,-16,0,400,-550,-10,230,9.090909091
1,8,0,280,-360,2.777777778,220.5,
-2,24,0,-450,350,-10,218.5,9.090909091
4,-10,0,150,-180,-10,212.5,
7,7,0,650,-1000,1,234,9.090909091
5,29,0,800,-1400,0.714285714,210,9.090909091
2,-13,0,-135,115,-10,218.5,9.090909091
9,50,0,-220,180,18,215.5,
5,9,0,115,-135,7.407407407,228,
16,-3,0,400,-550,-10,217.5,9.090909091
2,7,0,-130,110,11,237.5,9.090909091
8,25,0,320,-420,2.380952381,213,9.090909091
0,5,0,-240,190,-10,220,9.090909091
0,20,0,-250,200,-10,211.5,
6,-2,0,400,-550,-10,222,
8,24,0,700,-1100,0.909090909,219.5,9.090909091
5,45,0,850,-1500,0.666666667,221,
-5,21,0,160,-190,-10,220,9.090909091
6,5,0,230,-280,3.571428571,219.5,9.090909091
0,7,0,115,-135,-10,214,9.090909091
-2,8,0,180,-220,-10,212,
-6,8,0,225,-275,-10,212,9.090909091
13,19,0,1000,-2000,0.5,223,
5,16,0,100,-120,8.333333333,223.5,
9,5,0,500,-700,1.428571429,227.5,9.090909091
9,6,0,125,-145,6.896551724,216.5,9.090909091
3,-11,0,220,-270,-10,220.5,9.090909091
3,-12,0,155,-185,-10,208.5,9.090909091
2,-8,0,-180,150,-10,221,9.090909091
-6,-39,0,-600,425,1.666666667,216.5,
8,-3,0,125,-145,-10,226,
1,3,0,-135,115,11.5,216.5,9.090909091
-3,20,0,750,-1200,-10,218.5,9.090909091
0,8,0,550,-800,-10,219,9.090909091
9,10,0,-110,-110,9.090909091,225,9.090909091
-4,13,0,-185,155,-10,222,
1,-10,0,-200,170,-10,217.5,9.090909091
-1,-16,0,-115,-105,8.695652174,228,9.090909091
8,-13,0,175,-210,-10,213,9.090909091
2,14,0,170,-200,5,213,9.090909091
-3,12,0,135,-155,-10,217,
1,-10,0,-125,105,-10,224,
-1,-8,0,-275,225,3.636363636,228,
8,5,0,-180,150,15,216,9.090909091
7,11,0,400,-550,1.818181818,211,
3,27,0,-180,150,15,203,9.090909091
3,10,0,135,-155,6.451612903,205,
11,6,0,200,-250,4,228.5,9.090909091
8,14,0,260,-330,3.03030303,225,9.090909091
10,5,0,600,-900,1.111111111,220,
2,4,0,-200,170,17,223,
2,-12,0,125,-145,-10,215.5,9.090909091
0,-4,0,-300,240,3.333333333,222.5,
-2,-2,0,-330,260,3.03030303,222.5,9.090909091
0,7,0,-110,-110,-10,230,
-1,-16,0,-400,300,2.5,230,
1,-8,0,1000,-2000,-10,216.5,
2,8,0,-120,100,10,211.5,
10,18,0,142,-165,6.060606061,215.5,9.090909091
-4,-4,0,-500,375,2,220,9.090909091
6,6,0,180,-220,4.545454545,216.5,9.090909091
6,-28,0,-110,-110,-10,222.5,
1,2,0,350,-450,2.222222222,215,9.090909091
10,43,0,260,-330,3.03030303,226,9.090909091
4,-2,0,-110,-110,-10,216,
3,1,0,145,-170,5.882352941,234,
4,-1,0,135,-155,-10,199.5,9.090909091
-4,-9,0,400,-550,40,220,9.090909091
1,-18,0,-350,281,-10,219.5,9.090909091
5,-10,0,-125,105,-10,220.5,9.090909091
-1,-7,0,-170,148,5.882352941,214,
5,25,0,317,-400,2.5,214.5,
3,5,0,-180,155,15.5,218,
7,28,0,-107,-114,8.771929825,220.5,9.090909091
-1,-11,0,105,-125,10.5,206.5,9.090909091
10,5,0,155,-179,5.586592179,214.5,9.090909091
10,7,0,125,-145,6.896551724,221,9.090909091
12,-2,0,837,-1400,-10,228.5,
-1,5,0,-300,245,-10,238,9.090909091
4,5,0,227,-277,3.610108303,227,9.090909091
9,-9,0,797,-1300,-10,220,9.090909091
7,18,0,435,-580,1.724137931,228.5,
0,9,0,-330,267,26.7,213,
6,9,0,-140,120,12,213,9.090909091
1,1,0,222,-270,3.703703704,229.5,9.090909091
9,6,0,398,-522,1.915708812,221,9.090909091
6,15,0,520,-725,1.379310345,216.5,9.090909091
5,-7,0,199,-240,-10,217,
1,10,0,139,-159,6.289308176,240,9.090909091
0,1,0,-300,240,24,230.5,
5,-2,0,-200,170,-10,223,
5,11,0,300,-400,2.5,217.5,
6,-4,0,275,-350,-10,217.5,9.090909091
0,-5,0,285,-370,-10,208.5,
3,-4,0,150,-180,-10,227.5,
4,-21,0,-180,150,-10,218,
6,10,0,650,-1000,1,218.5,9.090909091
-2,-1,0,-280,230,3.571428571,213.5,9.090909091
1,3,0,-200,170,17,236.5,9.090909091
0,-7,0,-240,190,4.166666667,216.5,9.090909091
7,6,0,240,-300,3.333333333,214.5,9.090909091
7,-17,0,110,-130,-10,226.5,9.090909091
1,-33,0,170,-200,-10,203,9.090909091
5,4,0,105,-125,8,225.5,
3,32,0,130,-150,6.666666667,211.5,
3,7,0,275,-350,2.857142857,220.5,
-3,-8,0,-250,200,4,205,9.090909091
2,-2,0,260,-330,-10,221,
0,-5,0,-145,125,6.896551724,212.5,
7,-10,0,-170,145,-10,216.5,9.090909091
9,14,0,650,-1000,1,233,9.090909091
5,-20,0,200,-250,-10,214,
8,16,0,600,-900,1.111111111,228,9.090909091
13,3,0,1100,-2500,0.4,227.5,
3,39,0,155,-185,5.405405405,216,9.090909091
8,21,0,230,-280,3.571428571,242,9.090909091
7,17,0,750,-1200,0.833333333,216,9.090909091
8,26,0,750,-1200,0.833333333,227.5,9.090909091
6,3,0,400,-550,1.818181818,212,9.090909091
5,8,0,180,-220,4.545454545,215.5,
-1,-12,0,-135,115,7.407407407,232.5,
5,3,0,375,-500,2,226.5,9.090909091
7,33,0,850,-1500,0.666666667,209,
8,-6,0,-145,125,-10,208,9.090909091
9,-8,0,110,-130,-10,217,9.090909091
6,19,0,340,-440,2.272727273,216.5,9.090909091
6,11,0,150,-180,5.555555556,221,9.090909091
0,5,0,-150,130,-10,229.5,9.090909091
5,15,0,850,-1500,0.666666667,225,
7,25,0,340,-440,2.272727273,235,9.090909091
0,-14,0,-190,160,5.263157895,216,9.090909091
7,-1,0,105,-125,-10,214.5,9.090909091
-2,-31,0,-180,150,5.555555556,217,
-5,-11,0,-1200,750,0.833333333,217.5,
0,9,0,-210,175,-10,226.5,9.090909091
8,16,0,900,-1600,0.625,220,
2,-9,0,105,-125,-10,213.5,9.090909091
-4,2,0,-425,325,-10,231,
3,1,0,-125,105,10.5,222.5,9.090909091
6,14,0,225,-275,3.636363636,226,9.090909091
4,-10,0,130,-150,-10,235,9.090909091
2,4,0,-160,140,14,224,
7,24,0,600,-900,1.111111111,224.5,9.090909091
3,2,0,-180,150,15,210.5,
9,8,0,225,-275,3.636363636,212.5,
0,13,0,-110,-110,-10,217,9.090909091
-1,-17,0,-800,550,1.25,232,
9,-2,0,210,-260,-10,212,
1,-27,0,-135,115,-10,220,9.090909091
2,12,0,-140,120,12,221.5,9.090909091
5,-3,0,105,-125,-10,238.5,9.090909091
3,-3,0,-130,110,-10,227.5,9.090909091
9,-3,0,240,-300,-10,218,
5,9,0,105,-125,8,219,
3,6,0,320,-420,2.380952381,208.5,9.090909091
1,-15,0,125,-145,-10,207.5,
-8,-17,0,-240,190,4.166666667,226,
2,34,0,275,-350,2.857142857,214.5,9.090909091
1,-14,0,-160,140,-10,231.5,
3,-2,0,-270,220,-10,216.5,9.090909091
-6,-24,0,-850,575,1.176470588,222.5,
4,8,0,300,-400,2.5,221,9.090909091
-2,10,0,110,-130,-10,212.5,
9,23,0,260,-330,3.03030303,228,
2,17,0,170,-200,5,218.5,9.090909091
11,26,0,180,-220,4.545454545,228.5,
1,-6,0,-200,170,-10,208.5,9.090909091
7,11,0,220,-270,3.703703704,229,9.090909091
5,28,0,850,-1500,0.666666667,218.5,
9,22,0,800,-1400,0.714285714,215,
3,27,0,105,-125,8,218,9.090909091
1,1,0,-420,320,32,223,
0,2,0,-500,375,-10,216.5,
7,6,0,100,-120,8.333333333,218,9.090909091
-8,-19,0,-155,135,6.451612903,221.5,9.090909091
0,-6,0,115,-135,-10,219.5,
5,-10,0,110,-130,-10,239.5,9.090909091
12,-4,0,190,-240,-10,217,
1,-22,0,145,-170,-10,206,
-3,-17,0,-420,320,2.380952381,210,
0,13,0,-120,100,-10,225.5,
3,8,0,-230,192,19.2,223.5,9.090909091
-3,-56,0,-345,278,2.898550725,216.5,9.090909091
-1,15,0,-350,281,-10,219,9.090909091
5,3,0,-169,146,14.6,218,
-7,10,0,172,-205,-10,222,9.090909091
2,-23,0,428,-570,-10,220.5,
-3,-23,0,120,-140,12,207.5,
4,-8,0,105,-125,-10,219,9.090909091
6,8,0,144,-165,6.060606061,218,
0,-8,0,-140,120,7.142857143,228,9.090909091
1,-12,0,-250,200,-10,225,
4,13,0,-180,150,15,218,9.090909091
0,-5,0,175,-210,17.5,231,
2,13,0,120,-140,7.142857143,230.5,9.090909091
-8,-19,0,-130,110,7.692307692,225,9.090909091
6,25,0,160,-190,5.263157895,211.5,
8,6,0,140,-160,6.25,200,9.090909091
8,8,0,425,-600,1.666666667,226,9.090909091
-1,8,0,200,-250,-10,216,9.090909091
3,3,0,180,-220,4.545454545,218,
14,16,0,425,-600,1.666666667,223,9.090909091
7,9,0,180,-220,4.545454545,218.5,
5,14,0,600,-900,1.111111111,219.5,
-4,-4,0,-600,425,1.666666667,220,
